18;1;[4,3,0]
18;2;[5,0,6]
18;12;[5]
18;15;[3,16,7]
18;7;[16,3,15]
19;15;[16,3,7]
19;8;[3,17,18]
19;11;[5]
19;1;[3,0,4]
19;2;[5,0,6]
19;7;[16,15,3]
19;12;[5]
19;18;[17,3,8]
20;18;[8,3,17]
20;15;[3,7,16]
20;8;[3,18,17]
20;11;[5]
20;1;[3,4,0]
20;2;[6,0,5]
20;7;[15,16,3]
20;12;[5]
21;15;[3,7,16]
21;11;[5]
21;1;[0,4,3]
21;2;[0,5,6]
21;7;[16,15,3]
21;12;[5]
21;18;[3,17,8]
21;8;[17,3,18]
22;18;[17,3,8]
22;8;[3,18,17]
22;11;[5]
22;1;[0,4,3]
22;2;[6,5,0]
22;7;[3,16,15]
22;12;[5]
22;15;[16,3,7]
23;11;[5]
23;1;[4,0,3]
23;2;[6,0,5]
23;12;[5]
23;18;[3,17,8]
23;15;[16,3,7]
23;8;[17,3,18]
23;7;[16,3,15]
24;18;[17,8,3]
24;8;[18,17,3]
24;11;[5]
24;1;[3,4,0]
24;2;[0,6,5]
24;12;[5]
24;15;[3,16,7]
24;7;[3,16,15]
25;15;[16,7,3]
25;8;[3,17,18]
25;11;[5]
25;1;[0,3,4]
25;2;[0,5,6]
25;7;[15,16,3]
25;12;[5]
25;18;[17,3,8]
26;11;[5]
26;1;[3,0,4]
26;2;[0,6,5]
26;7;[3,16,15]
26;12;[5]
26;18;[3,17,8]
26;15;[3,16,7]
26;8;[17,3,18]
27;8;[3,17,18]
27;11;[5]
27;1;[0,4,3]
27;2;[0,6,5]
27;12;[5]
27;18;[17,3,8]
27;15;[3,16,7]
27;7;[16,3,15]
28;18;[8,3,17]
28;15;[7,3,16]
28;8;[18,17,3]
28;11;[5]
28;1;[0,4,3]
28;2;[0,6,5]
28;7;[3,15,16]
28;12;[5]
29;18;[8,3,17]
29;8;[3,18,17]
29;11;[5]
29;1;[0,4,3]
29;2;[6,0,5]
29;12;[5]
29;15;[16,3,7]
29;7;[3,16,15]
30;18;[17,3,8]
30;11;[5]
30;8;[18,3,17]
30;7;[3,16,15]
30;12;[5]
30;0;[1,4,5,6,3,2]
30;14;[6,2,5]
30;13;[6,14,2]
30;6;[14,2,5,0,13]
30;15;[3,16,7]
30;1;[3,4,6,5,0,2]
30;2;[5,4,13,14,6,0,1]
31;0;[2,1,3,4,5,6]
31;18;[17,8,3]
31;14;[5,2,13,6,0]
31;15;[3,7,16]
31;8;[3,17,18]
31;6;[1,14,0,13,5,2]
31;11;[5]
31;7;[15,3,16]
31;12;[5]
31;1;[0,2,5,3,6,14,13]
31;13;[6,2,14,5]
31;2;[0,5,4,13,6,1,14]
32;15;[16,3,7]
32;2;[0,1,13,6,5,4,14]
32;18;[17,3,8]
32;13;[6,14,5,2,1,0]
32;14;[6,5,2,0,1,13]
32;11;[5]
32;8;[3,17,18]
32;1;[14,0,13,5,3,6,2]
32;7;[3,15,16]
32;12;[5]
32;0;[4,3,5,6,1,14,2]
32;6;[14,2,13,5,1,0,4]
