28;8;[17,3,18]
28;11;[2,12,5]
28;12;[2,5,11]
28;5;[2,11,12]
29;14;[6]
29;0;[2,3,1,4]
29;1;[0,2,3,4]
29;15;[7]
29;8;[17,18,3]
29;5;[11,2,12]
29;11;[2,5,12]
29;12;[2,11,5]
30;14;[6]
30;15;[7]
30;10;[4,2,9,0]
30;4;[10,9,0,2,3,1]
30;8;[3,17,18]
30;18;[3,17,8]
30;1;[5,0,4,10,2,12,11]
30;11;[4,3,1,12,0,2,5]
30;12;[5,3,4,1,0,2,11]
30;5;[4,12,11,3,0,2,1]
30;0;[9,1,11,5,3,2,12]
30;2;[5,11,1,3,0,4,9]
31;2;[5,9,3,0,4,11,1]
31;14;[6]
31;10;[9,4,0,2,5]
31;0;[9,10,12,5,3,1,4]
31;15;[7]
31;1;[12,10,11,2,9,5,3]
31;4;[9,1,3,0,10,11,2]
31;12;[5,2,11,3,1,4,0]
31;18;[3,17,8]
31;8;[3,17,18]
31;11;[0,12,5,3,4,9,1]
31;5;[3,11,2,4,1,0,12]
32;18;[8,3,17]
32;8;[17,3,18]
32;15;[7]
32;2;[3,11,4,9,5,12,0]
32;14;[6]
32;11;[0,2,5,4,1,12,10]
32;4;[9,1,10,2,3,0,11]
32;12;[4,1,5,3,0,10,11]
32;0;[3,11,4,1,5,12,2]
32;5;[12,3,0,1,11,4,2]
32;10;[2,5,0,4,9,1,3]
32;1;[5,3,9,11,10,2,0]
33;1;[0,11,5,2,3,10,4]
33;10;[5,3,4,0,2,9,1]
33;18;[8,3,17]
33;2;[11,3,9,4,10,0,1]
33;11;[10,5,2,1,0,4,3]
33;0;[3,1,12,2,11,4,5]
33;14;[6]
33;15;[7]
33;8;[3,17,18]
33;5;[2,3,0,12,1,11,4]
33;4;[11,9,0,1,12,2,5]
33;12;[0,1,10,3,4,11,9]
34;14;[6]
34;11;[0,3,4,9,5,1,10]
34;15;[7]
34;4;[0,11,5,12,10,9,1]
34;8;[17,3,18]
34;2;[11,4,9,3,1,5,10]
34;10;[5,9,4,3,2,0,1]
34;1;[4,10,5,3,11,2,0]
34;0;[2,1,4,12,11,3,5]
34;5;[1,12,11,3,0,9,2]
34;18;[17,3,8]
34;12;[9,1,3,4,2,0,11]
35;2;[4,5,11,9,3,10,0]
35;14;[6]
35;8;[17,3,18]
35;0;[4,5,12,2,11,1,3]
35;18;[3,17,8]
35;15;[7]
35;4;[11,5,10,1,9,12,3]
35;12;[3,11,0,2,9,4,5]
35;10;[2,3,0,4,5,1,11]
35;1;[3,0,5,4,10,9,2]
35;11;[10,3,4,1,0,5,2]
35;5;[0,12,3,9,11,4,10]
36;2;[3,0,10,4,11,5,1]
36;10;[4,0,11,2,1,5,3]
36;11;[3,1,10,4,2,9,0]
36;4;[11,3,12,5,1,10,2]
36;14;[6]
36;1;[4,3,10,2,11,9,0]
36;15;[7]
36;0;[4,10,2,12,5,3,9]
36;12;[4,3,5,11,0,2,9]
36;5;[9,4,11,10,12,0,1]
36;18;[17,3,8]
36;8;[3,17,18]
37;18;[8,17,3]
37;4;[1,12,5,3,2,11,10]
37;10;[11,1,2,3,0,5,9]
37;2;[4,1,10,5,0,12,11]
37;1;[2,4,11,3,9,0,5]
37;12;[5,11,0,3,9,2,4]
37;11;[0,3,1,2,4,9,10]
37;5;[1,4,9,0,12,2,11]
37;14;[6]
37;15;[7]
37;8;[18,3,17]
37;0;[2,11,1,10,4,3,5]
38;14;[6]
38;0;[1,4,10,2,3,11,9]
38;5;[2,11,0,12,1,9,10]
38;10;[1,9,0,11,5,2,3]
38;4;[10,12,11,5,3,1,0]
38;15;[7]
38;12;[0,5,4,2,11,3,9]
38;1;[9,10,4,12,5,11,2]
38;18;[3,17,8]
38;2;[10,4,1,11,0,5,9]
38;11;[9,4,2,3,0,5,1]
38;8;[17,3,18]
39;18;[8,3,17]
39;14;[6]
39;1;[9,3,11,0,5,2,10]
39;15;[7]
39;10;[0,11,1,3,5,2,4]
39;5;[2,9,11,12,1,10,0]
39;8;[18,3,17]
39;2;[0,5,4,1,9,10,11]
39;4;[12,3,10,0,5,1,11]
39;0;[9,11,1,4,2,3,10]
39;11;[3,2,1,0,5,4,12]
